sku,match_name,youtube_id,timestamp_seconds,division_id
RE-V5RC-25-0011,Q23,dqiXLjV04TY,8550,1
RE-V5RC-25-0011,Q24,dqiXLjV04TY,8733,1
RE-V5RC-25-0011,Q25,dqiXLjV04TY,8950,1
RE-V5RC-25-0011,Q26,dqiXLjV04TY,9198,1
RE-V5RC-25-0011,Q28,dqiXLjV04TY,9640,1
RE-V5RC-25-0011,Q29,dqiXLjV04TY,9822,1
RE-V5RC-25-0011,Q30,dqiXLjV04TY,22177,1
RE-V5RC-25-0011,Q31,dqiXLjV04TY,10311,1
RE-V5RC-25-0011,Q32,dqiXLjV04TY,10486,1
RE-V5RC-25-0011,Q33,dqiXLjV04TY,10845,1
RE-V5RC-25-0011,Q35,dqiXLjV04TY,11370,1
RE-V5RC-25-0011,Q36,dqiXLjV04TY,11607,1
RE-V5RC-25-0011,Q37,dqiXLjV04TY,11789,1
RE-V5RC-25-0011,Q39,dqiXLjV04TY,12371,1
RE-V5RC-25-0011,Q41,dqiXLjV04TY,12759,1
RE-V5RC-25-0011,Q42,dqiXLjV04TY,13093,1
RE-V5RC-25-0011,Q43,dqiXLjV04TY,13294,1
RE-V5RC-25-0011,Q44,dqiXLjV04TY,13514,1
RE-V5RC-25-0011,Q45,dqiXLjV04TY,13759,1
RE-V5RC-25-0011,Q46,dqiXLjV04TY,14055,1
RE-V5RC-25-0011,Q48,dqiXLjV04TY,14393,1
RE-V5RC-25-0011,Q49,dqiXLjV04TY,14783,1
RE-V5RC-25-0011,Q51,dqiXLjV04TY,15122,1
RE-V5RC-25-0011,Q52,dqiXLjV04TY,15309,1
RE-V5RC-25-0011,Q53,dqiXLjV04TY,15467,1
RE-V5RC-25-0011,Q55,dqiXLjV04TY,15870,1
RE-V5RC-25-0011,Q56,dqiXLjV04TY,16033,1
RE-V5RC-25-0011,Q58,dqiXLjV04TY,16456,1
RE-V5RC-25-0011,Q60,dqiXLjV04TY,16837,1
RE-V5RC-25-0011,Q61,dqiXLjV04TY,17022,1
RE-V5RC-25-0011,Q62,dqiXLjV04TY,17233,1
